combo_id,strategy_id,strategy_name,symbol,timeframe,strategy_type,param1_name,param1_value,param2_name,param2_value,total_return,total_return_pct,cagr,cagr_pct,sharpe,sharpe_ratio,sortino,sortino_ratio,max_drawdown,max_drawdown_pct,profit_factor,win_rate,win_rate_pct,trades,total_trades,expectancy,avg_trade,exposure,exposure_time_pct,volatility,ending_equity,selected_for_dashboard
bollinger_mean_reversion__10__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,10.0,std_dev,1.5,-0.06387952676527786,-6.387952676527786,-0.9999999999656374,-99.99999999656374,-98.0713089151961,-98.0713089151961,-137.50979490469314,-137.50979490469314,-0.06451187110992607,-6.451187110992606,0.3193629342555834,0.38333333333333336,38.333333333333336,120,120,-285.1800142940192,-285.1800142940192,0.6291666666666667,62.916666666666664,0.24536633520213347,936120.4732347222,False
bollinger_mean_reversion__10__2,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,10.0,std_dev,2.0,-0.03454458006292471,-3.4544580062924712,-0.9999973253798626,-99.99973253798626,-63.95474589166625,-63.95474589166625,-68.89000305732145,-68.89000305732145,-0.03495226702001375,-3.495226702001375,0.36291134988760865,0.45714285714285713,45.714285714285715,70,70,-287.777609744979,-287.777609744979,0.37083333333333335,37.083333333333336,0.20032106966539667,965455.4199370752,False
bollinger_mean_reversion__10__2p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,10.0,std_dev,2.5,-0.004053140639339925,-0.4053140639339925,-0.7729085683314176,-77.29085683314176,-20.014885990120273,-20.014885990120273,-10.853866543776753,-10.853866543776753,-0.005960943958953968,-0.5960943958953968,0.393780124006493,0.375,37.5,8,8,-477.9006398344209,-477.9006398344209,0.06736111111111111,6.736111111111111,0.0739284083559281,995946.8593606601,False
bollinger_mean_reversion__10__3,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,10.0,std_dev,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1000000.0,False
bollinger_mean_reversion__10__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,10.0,std_dev,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1000000.0,False
bollinger_mean_reversion__20__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,20.0,std_dev,1.5,-0.03878643331418341,-3.878643331418341,-0.9999994638818268,-99.99994638818268,-58.896149238754525,-58.896149238754525,-78.47534032398326,-78.47534032398326,-0.039258678698025684,-3.9258678698025684,0.3816489999949454,0.47297297297297297,47.2972972972973,74,74,-300.39429614193597,-300.39429614193597,0.6756944444444445,67.56944444444444,0.2446473564976442,961213.5666858166,False
bollinger_mean_reversion__20__2,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,20.0,std_dev,2.0,-0.028964215606455013,-2.8964215606455013,-0.9999780789842047,-99.99780789842046,-48.89841561749236,-48.89841561749236,-54.94473534714638,-54.94473534714638,-0.029564827640181313,-2.9564827640181313,0.35725362412722106,0.43137254901960786,43.13725490196079,51,51,-359.2026760446058,-359.2026760446058,0.5076388888888889,50.763888888888886,0.21890271700498798,971035.784393545,False
bollinger_mean_reversion__20__2p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,20.0,std_dev,2.5,-0.01223760397007212,-1.223760397007212,-0.9888272946990725,-98.88272946990725,-26.595203636052318,-26.595203636052318,-21.580425151272202,-21.580425151272202,-0.012852750003987223,-1.2852750003987223,0.8054266276074658,0.56,56.00000000000001,25,25,-87.16226244000718,-87.16226244000718,0.2763888888888889,27.63888888888889,0.1684542244623124,987762.3960299279,False
bollinger_mean_reversion__20__3,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,20.0,std_dev,3.0,-0.002460681795156794,-0.24606817951567939,-0.5931276180629224,-59.31276180629224,-13.102586762494921,-13.102586762494921,-5.50957392648627,-5.50957392648627,-0.003317120721548994,-0.3317120721548994,0.782797077034406,0.6,60.0,5,5,-116.23505408684723,-116.23505408684723,0.06875,6.875000000000001,0.06845305966671214,997539.3182048432,False
bollinger_mean_reversion__20__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,20.0,std_dev,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1000000.0,False
