combo_id,strategy_id,strategy_name,trade_id,side,entry_timestamp_utc,exit_timestamp_utc,entry_timestamp_ist,exit_timestamp_ist,exit_date,entry_price,exit_price,qty,gross_return,net_pnl,equity_after,r_multiple,param1_name,param1_value,param2_name,param2_value
bollinger_mean_reversion__10__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bollinger_mean_reversion__10__1p5-0001,short,2026-04-28 00:10:00+0000,2026-04-28 00:14:00+0000,2026-04-28 05:40:00+0530,2026-04-28 05:44:00+0530,05:44,77350.0,77286.3,1.0,0.0008235294117646674,682.6349304959876,999994.6369998183,0.6831049052572404,bb_length,10.0,std_dev,1.5
bollinger_mean_reversion__10__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bollinger_mean_reversion__10__1p5-0002,long,2026-04-28 00:20:00+0000,2026-04-28 00:32:00+0000,2026-04-28 05:50:00+0530,2026-04-28 06:02:00+0530,06:02,77228.2,77259.9,1.0,0.00041047182246889413,-398.20947621541563,999173.4328618799,-0.3983801253944789,bb_length,10.0,std_dev,1.5
bollinger_mean_reversion__10__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bollinger_mean_reversion__10__1p5-0003,short,2026-04-28 00:33:00+0000,2026-04-28 00:35:00+0000,2026-04-28 06:03:00+0530,2026-04-28 06:05:00+0530,06:05,77228.0,77215.0,1.0,0.00016833272906202623,248.68133541115094,999534.9129539117,0.24885896307044336,bb_length,10.0,std_dev,1.5
bollinger_mean_reversion__10__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bollinger_mean_reversion__10__1p5-0004,short,2026-04-28 00:37:00+0000,2026-04-28 00:50:00+0000,2026-04-28 06:07:00+0530,2026-04-28 06:20:00+0530,06:20,77289.4,77314.7,1.0,-0.0003273411360420475,-1196.2946727247909,997697.2266513533,-1.1976198135103016,bb_length,10.0,std_dev,1.5
bollinger_mean_reversion__10__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bollinger_mean_reversion__10__1p5-0005,long,2026-04-28 00:51:00+0000,2026-04-28 00:55:00+0000,2026-04-28 06:21:00+0530,2026-04-28 06:25:00+0530,06:25,77268.1,77382.1,1.0,0.001475382467020614,972.5680293178884,997769.1420325622,0.9756935915338759,bb_length,10.0,std_dev,1.5
bollinger_mean_reversion__10__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bollinger_mean_reversion__10__1p5-0006,long,2026-04-28 01:03:00+0000,2026-04-28 01:07:00+0000,2026-04-28 06:33:00+0530,2026-04-28 06:37:00+0530,06:37,77313.7,77321.9,1.0,0.00010606140955604637,-41.29939107445534,997739.6305529138,-0.04139124113824639,bb_length,10.0,std_dev,1.5
bollinger_mean_reversion__10__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bollinger_mean_reversion__10__1p5-0007,long,2026-04-28 01:15:00+0000,2026-04-28 01:27:00+0000,2026-04-28 06:45:00+0530,2026-04-28 06:57:00+0530,06:57,77295.5,77209.2,1.0,-0.0011164944919174191,-1386.6100418232381,995964.6405402764,-1.3902925784812015,bb_length,10.0,std_dev,1.5
bollinger_mean_reversion__10__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bollinger_mean_reversion__10__1p5-0008,long,2026-04-28 01:29:00+0000,2026-04-28 01:30:00+0000,2026-04-28 06:59:00+0530,2026-04-28 07:00:00+0530,07:00,77200.3,77154.3,1.0,-0.0005958526067904035,-298.8147479055915,995750.3449377094,-0.2999999999999066,bb_length,10.0,std_dev,1.5
bollinger_mean_reversion__10__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bollinger_mean_reversion__10__1p5-0009,long,2026-04-28 01:31:00+0000,2026-04-28 01:36:00+0000,2026-04-28 07:01:00+0530,2026-04-28 07:06:00+0530,07:06,77150.1,77168.1,1.0,0.00023331142798266313,143.7896472044522,995541.2044475105,0.14445451140065385,bb_length,10.0,std_dev,1.5
bollinger_mean_reversion__10__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bollinger_mean_reversion__10__1p5-0010,long,2026-04-28 01:44:00+0000,2026-04-28 01:55:00+0000,2026-04-28 07:14:00+0530,2026-04-28 07:25:00+0530,07:25,77064.9,77074.4,1.0,0.00012327272208234596,-6.796596391359344,995297.756800195,-0.006828659999761089,bb_length,10.0,std_dev,1.5
